category_en,category_he,diagnosis_type_en,diagnosis_type_he,difficulty_description_en,difficulty_description_he,difficulty_tags_en,recommendation_en,recommendation_he,example_en,example_he,contribution_en,contribution_he,source,example_is_array
environment,סביבה,Combined,משולב,Difficulty in organizing and responding to instructions,קושי בהתארגנות ובתגובה להנחיות,"task initiation, energy,  arousal level, desk_bag_organization,  visual_schedules, task_completion",Using visuals Use visual schedules and daily auditory reminders,השתמש בלוחות זמנים חזותיים ותזכורות קוליות יומיומיות,"
Place a clear visual schedule on the student’s desk and play a voice memo each morning reviewing the day’s routine",הנח לוח זמנים חזותי על שולחן הילד והשמע תזכורת קולית בכל בוקר עם סקירה של סדר היום,"Improves task initiation, supports time management, and reduces forgetfulness",משפר התחלת משימות ומפחית שכחנות,get_tips,text
environment,סביבה,Hyperactivity,היפרקאקטביות ,Difficulty regulating impulses and sustaining calm behavior,קושי בוויסות דחפים ושמירה על התנהגות רגועה,"restlessness, seating strategy, seating_difficulty",Use gamified tools for learning and practicing self-control,השתמש בכלים משחקיים ללמידה ותרגול שליטה עצמית,Give the child a token or sticker every time they successfully wait their turn or stay seated during an activity,הענק לילד מדבקה או אסימון בכל פעם שהוא מצליח לחכות לתורו או להישאר ישוב לאורך פעילות,Encourages self-regulation and increases motivation through positive reinforcement,מעודד ויסות עצמי ומגביר מוטיבציה באמצעות חיזוק חיובי,get_tips,text
environment,סביבה,Combined,משולב,Difficulty responding appropriately to consequences and feedback,קושי בהתמודדות עם תוצאות ומשוב בצורה מותאמת,"feedback sensitivity, immediate feedback",Implement immediate reward systems instead of delayed punishment,הטמע מערכות תגמול מיידיות במקום ענישה נדחית,"Provide a reward, such as a sticker, right after the desired behavior is observed, rather than punishing after misbehavior","תן פרס, כמו מדבקה, מיד לאחר שמתקיימת התנהגות רצויה, במקום להעניש בדיעבד על התנהגות שלילית","Increases motivation, reduces frustration, and strengthens positive behavior patterns","מגביר מוטיבציה, מפחית תסכול ומחזק דפוסי התנהגות חיוביים","Rucklidge, 2008",text
environment,סביבה,Inattention,חוסר קשב,"In most cases, the difficulty is expressed as impaired self-management or difficulty with organization.",  במרבית המקרים הקושי שיבוא לידי ביטוי הוא קושי בניהול עצמי / קושי בהתארגנות,"routine, energy,  arousal level, desk_bag_organization,  visual_schedules, task_completion","Use schedules, visual and auditory reminders, and a consistent daily routine for organization","השתמש בלוחות זמנים, תזכורות חזותיות וקוליות וסדר יום קבוע להתארגנות.","Create a visual schedule with symbols for each part of the day (e.g., brushing teeth, packing bag) and review it together each morning.","צרו לוח זמנים חזותי עם סמלים לכל חלק ביום (למשל, צחצוח שיניים, אריזת תיק) ועברו עליו יחד בכל בוקר.","Helps the child anticipate upcoming tasks, reduces anxiety from transitions, and builds consistent routines that support independent organization.","מסייע לילד לצפות משימות עתידיות, מפחית חרדה ממעברים ובונה שגרה עקבית התומכת בהתארגנות עצמאית.",,text
environment,סביבה,Inattention,חוסר קשב,"In most cases, the difficulty manifests as difficulty sustaining tasks and reduced concentratio", במרבית המקרים הקושי שיבוא לידי ביטוי הוא קושי בהתמדה במשימות / ירידה בריכוז,"arousal level, desk_bag_organization, immediate feedback","Present tasks in a short and gradual sequence, with immediate incentives and positive reinforcement","הצג משימות ברצף קצר ומדורג, עם תמריצים מיידיים וחיזוקים חיוביים.",Break assignments into smaller steps with immediate feedback after each step.,לחלק משימות לשלבים קטנים עם משוב מיידי אחרי כל שלב.,Helps maintain attention and motivation by reducing task overload.,מסייע לשמור על קשב ומוטיבציה על ידי הפחתת עומס המשימה.,,text
environment,סביבה,Impulsivity,אימפולסיביות ,"In most cases, the difficulty manifests as behavioral dysregulation or impulsivity", במרבית המקרים הקושי שיבוא לידי ביטוי הוא קושי בוויסות התנהגותי / אימפולסיביות,"behavioral reinforcement, behavioral regulation, energy, desk_bag_organization, behavior boundaries",Use a behavior management approach (positive reinforcement and clear behavioral rules).,"השתמש בגישה של ניהול התנהגות (חיזוקים חיוביים, כללי התנהגות ברורים).",Create a reward chart with stickers for every appropriate behavior followed by a reward.,ליצור טבלת תגמולים עם מדבקות על כל התנהגות ראויה ואחריה תגמול.,Encourages consistent behavior and provides external motivation.,מעודד התנהגות עקבית ומספק מוטיבציה חיצונית.,,text
environment,סביבה,Inattention,חוסר קשב,"In most cases, the difficulty manifests as poor time orientation and difficulty meeting deadlines", במרבית המקרים הקושי שיבוא לידי ביטוי הוא קושי באוריינטציה בזמן / קושי בעמידה בזמנים,"time orientation, morning routine, task_completion",Provide timers or accessible clocks for reminders and time management,הצב טיימרים או שעונים נגישים לילד/ה לשם תזכורת וניהול זמן.,Place a visible timer on the student’s desk to manage work intervals.,להניח טיימר גלוי על שולחן התלמיד לניהול מרווחי זמן העבודה.,Supports independence and awareness of time for better task completion.,תומך בעצמאות ובמודעות לזמן לשיפור סיום משימות.,,text
environment,סביבה,Impulsivity,אימפולסיביות ,"In most cases, the difficulty manifests as challenges in coping with change or transitioning between tasks.", במרבית המקרים הקושי שיבוא לידי ביטוי הוא קושי בהתמודדות עם שינוי / מעבר בין פעילויות,visual/auditory distraction,Establish a clear routine with advance preparation for transitions using visual cues.,צור שגרה ברורה עם הכנה מראש למעברים בעזרת סימנים חזותיים.,Use picture cards or a visual schedule to preview and prepare for upcoming transitions.,להשתמש בכרטיסי תמונות או לוח זמנים חזותי כדי להכין את הילד למעברים.,Reduces anxiety about changes and supports smoother task transitions.,מפחית חרדה משינויים ותומך במעברים חלקים בין משימות.,,text
environment,סביבה,Hyperactivity,היפרקאקטביות ,"In most cases, the difficulty manifests as impaired inhibition and poor self-control.", במרבית המקרים הקושי שיבוא לידי ביטוי הוא קושי באינהיביציה ושליטה עצמית,"behavioral reinforcement, restlessness, energy, immediate feedback","A parent or teacher should provide immediate and structured feedback, including positive reinforcement for self-regulation.","הורה או מורה יספק משוב מיידי ומובנה, כולל חיזוקים חיוביים על ויסות עצמי",Teacher gives verbal praise and a token immediately after a student resists an impulse.,המורה נותן שבח מילולי ואסימון מיד לאחר שהילד מתאפק לא לפעול מתוך דחף.,Strengthens self-regulation and provides positive reinforcement for control.,מחזק ויסות עצמי ומספק חיזוק חיובי על שליטה עצמית.,"BRIEF, Rucklidge",text
environment,סביבה,Hyperactivity,היפרקאקטביות ,"In most cases, the difficulty manifests as externalizing behaviors and disciplinary issues.", במרבית המקרים הקושי שיבוא לידי ביטוי הוא התנהגות חיצונית ובעיות משמעת,"restlessness, seating strategy",Working in small groups with clear and predictable rules reduces outbursts.,עבודה בקבוצות קטנות עם חוקים ברורים וצפויים מראש מפחיתה התנהגות מתפרצת,Place student in a small group setting with structured rules and regular teacher check-ins.,למקם את הילד בקבוצת למידה קטנה עם חוקים ברורים ובדיקות קבועות מצד המורה.,Reduces behavior outbursts through structure and peer modeling.,מפחית התפרצויות התנהגותיות דרך מבנה וחיקוי חברתי.,Skogli et al.,text
