category_en,category_he,diagnosis_type_en,diagnosis_type_he,difficulty_description_en,difficulty_description_he,difficulty_tags_en,recommendation_en,recommendation_he,example_en,example_he,contribution_en,contribution_he,source,example_is_array
Physical Activity,פעילות גופנית ,Hyperactivity,היפרקאקטביות ,"Difficulty maintaining attention over time, high distractibility, and persistent movement.	","קושי להתרכז לאורך זמן, מוסחות גבוהה ותנועתיות. הילד/ה מוסח/ת בקלות, לא יושב/ת במקום אחד.",movement_during_class,"Continuous aerobic activity for 20–30 minutes, such as running during recess or after schoo","פעילות אירובית מתמשכת של 20–30 דקות, כמו ריצה בזמן ההפסקה או אחרי בית הספר","Continuous aerobic activity for 20–30 minutes, such as running during recess	","פעילות אירובית מתמשכת של 20–30 דק', כמו ריצה בהפסקה	",Improves attention and reduces hyperactive behavior by providing an outlet for energy.	,משפר קשב ומפחית התנהגות היפראקטיבית באמצעות פורקן לאנרגיה.,"Chan et al., 2021",text
Physical Activity,פעילות גופנית ,"Combined, Hyperactive","משולב, היפראקטביות","Difficulty initiating mental tasks after inactivity, trouble starting assignments","קושי בכניסה לפעילות מנטלית לאחר חוסר תנועה, קושי להתחיל משימות",task_initiation_difficulty,Single bout aerobic exercise,פעילות אירובית חד פעמית,"10-minute aerobic activity at the beginning of the day (e.g., jumping jacks, on-the-spot running, skipping)","פעילות אירובית קצרה של 10 דקות בתחילת היום (כגון קפיצה במקום, ריצה במקום, דילוגים)","Improves attention immediately, effect lasts ~60 min",שיפור מיידי בקשב למשך 60 דקות,"Chan et al., 2021",text
Physical Activity,פעילות גופנית ,Impulsivity,אימפולסיביות ,"Child jumps, runs, interrupts or blurts out answers, or interferes with others
Difficulty with impulse control, high activity level, and stopping impulsive behavior.	       ","קופץ/ת, רץ/ה או מתפרץ/ת לדבר בלי להמתין, מתערב/ת בפעילות של אחרים        
קושי בשליטה בדחפים, רמות פעילות גבוהות, מתקשה לעצור פעולה אימפולסיבית.",post_activity_focus,High intensity interval training (HIIT): short bursts of fast running/jumping during breaks.	,אימון אינטרוולים בעצימות גבוהה: סבבים קצרים של ריצה/קפיצה במהלך הפסקות.,"Between classes, have the child do a set of 5 short sprints in the hallway.","בין שיעורים, לבצע עם הילד/ה חמישה ספרינטים קצרים במסדרון.","Reduces impulsivity and helps the child practice stopping and starting activities, improving self-regulation.	","מפחית אימפולסיביות, עוזר לתרגל עצירה והתחלה של פעולות, משפר ויסות עצמי.	","Chan et al., 2021",text
Physical Activity,פעילות גופנית ,"Combined, Inattentive","משולב, חוסר קשב","Difficulty integrating sensory input and maintaining attention during tasks. The child may appear distracted, have trouble following instructions, or struggle with motor planning.","קושי בעיבוד מידע תחושתי, מוסחות במהלך משימות. הילד/ה מתקשה להתרכז, מתקשה לעקוב אחרי הוראות או לתכנן תנועה.",perceptual_motor_difficulty,Perceptual-motor training,אימון תחושתי-מוטורי,"Practice balance exercises using a balance board, or follow obstacle courses with visual and auditory cues.","אימוני שיווי משקל על לוח שיווי משקל, או מסלולי מכשולים עם סימנים חזותיים וקוליים.",Enhances sensory integration and attention,שיפור אינטגרציה סנסורית וקשב,"Chan et al., 2021",text
Physical Activity,פעילות גופנית ,"Combined, Hyperactive","משולב, היפראקטביות","Difficulty persisting with tasks, frequent movement, and low motivation to complete non-preferred activities. The child is restless, often leaves their seat, or needs reminders to keep working.","קושי בהתמדה במשימות, תנועתיות מרובה, חוסר מוטיבציה להשלמת משימות לא אהובות. הילד/ה חסר/ת מנוחה, מרבה לקום מהמקום או צריך/ה תזכורות להמשיך לעבוד.","movement_during_class, physical_engagement_level",Motor-cognitive training with games and encouragement,שילוב משחקים ותכנון מוטורי,"Incorporate team games that require turn-taking and following multi-step instructions (e.g., relay races, scavenger hunts)","משחקי קבוצות הדורשים תורות ועמידה בהוראות מרובות שלבים (כגון מרוצי שליחים, חפש את המטמון).","Enhances persistence, regulation and motivation","משפר התמדה, עידוד, ויסות רגשי ומוטיבציה","Chan et al., 2021",text
Physical Activity,פעילות גופנית ,"Combined, Impulsivity","משולב, אימפולסיביות",Difficulty inhibiting responses and controlling impulsive actions; struggles to wait their turn and may interrupt activities. The child acts before thinking and finds it hard to pause during games.        ,"קושי בדחיית תגובה ושליטה באימפולסיביות; מתקשה להמתין לתורו ועלול להפריע לפעילות. הילד/ה פועל/ת לפני שמספיק/ה לחשוב, מתקשה לעצור באמצע משחק.",post_workout_up,Moderate-to-high intensity aerobic training,אימון אירובי מתון-עצים,"Have the child participate in structured aerobic classes (e.g., kids’ Zumba, running group), emphasizing regular start/stop intervals","השתתפות בחוגי אירובי מובנים (כגון זומבה לילדים, קבוצות ריצה), תוך הדגשת הפסקות יזומות במהלך הפעילות.","Improved inhibition, attention, emotional regulation and motor function","שיפור באינהיביציה, תשומת לב, ויסות רגשי ותפקוד מוטורי","Chan et al., 2021",text
Physical Activity,פעילות גופנית,Impulsivity,אימפולסיביות,"Difficulty with self-regulation and controlling impulsive behavior, particularly in sensory-motor tasks","קושי בוויסות עצמי ושליטה בהתנהגות אימפולסיבית, במיוחד בפעילויות סנסו-מוטוריות",sensorimotor_impulsivity,Perceptual-motor training,אימון תחושתי-תנועתי,"Balance training, jumping over obstacles, ball coordination drills","תרגול שיווי משקל, קפיצה מעל מכשולים, תרגילי תיאום עם כדור",Improved sensory-motor coordination and attention,שיפור בתפקודים התחושתיים-מוטוריים ובקשב,"Chan et al., 2021",text
Physical Activity,פעילות גופנית,Impulsivity,אימפולסיביות,Difficulty with impulse control and maintaining appropriate behavior in structured group settings,קושי לשבת במקום ולהתמיד במשימות שכוללות תנועה,"post_workout_up, physical_engagement_level","School-based physical activity (handball, soccer, athletics)","תוכנית פעילות גופנית בית-ספרית (כדוריד, כדורגל, אתלטיקה)",Regular participation in team sports after school,השתתפות קבועה בספורט קבוצתי לאחר שעות הלימודים,"Reduction in impulsivity and improvement in inhibition, decision-making, attention and motor skills","ירידה באימפולסיביות ושיפור באינהיביציה, קבלת החלטות, קשב ותפקוד מוטורי","Ghahramani et al., 2016",text
Physical Activity,פעילות גופנית,"Combined, Hyperactive","משולב, היפראקטיביות",Difficulty sitting still and sustaining attention during movement-based tasks,קושי לשבת במקום ולשמור על קשב במהלך משימות שדורשות תנועה,sustained_attention_difficulty,Moderate-High Intensity Aerobic Training,אימון גופני אירובי בעצימות בינונית-גבוהה,20–30 minute run during recess or after school,ריצה של 20–30 דקות בזמן ההפסקה או לאחר בית הספר,"Improves impulse control, attention, executive function, coordination, and motor performance","שיפור בשליטה על דחפים, קשב, תפקוד ניהולי, קואורדינציה ותפקוד מוטורי","Ghahramani et al., 2016",text
Physical Activity,פעילות גופנית,Hyperactivity,היפראקטיביות,Difficulty inhibiting movement and maintaining focus in activities,קושי בבלימת תנועה ושמירה על קשב בפעילויות,movement_during_class,Perceptual Motor Training (perceptual-motor training),אימון תחושתי-תנועתי,Practice balance and obstacle courses,"תרגול שיווי משקל, מסלולי מכשולים","Enhances coordination, sensory-motor integration, and attention","שיפור בתיאום, תחושה-תנועה וקשב","Ghahramani et al., 2016",text
